station,lat,lon,date,groundtruth_no2,tropospheric_no2,population_density,night_light,u10,v10,wind_speed,temperature_2m_C,surface_pressure_hPa,BLH,total_cloud_cover
DTU,28.7500499,77.1112615,2024-09-11,46.40708333333333,-9999.0,14392.320251464844,20.68000030517578,-0.1876900990804036,-1.0040817260742188,1.0214732918334155,27.72269655863448,977.0069010416668,305.67094207007034,0.9851505369686884
DTU,28.7500499,77.1112615,2024-09-12,45.00875000000001,-9999.0,14392.320251464844,20.68000030517578,-0.1974652608235677,-3.40840232372284,3.4141175916466864,25.149005508422874,975.8503857421877,453.7990369560305,0.9998380687118562
DTU,28.7500499,77.1112615,2024-09-13,20.446,-9999.0,14392.320251464844,20.68000030517578,1.4633076985677085,-0.0913059314092,1.466153536911474,25.013801193237327,977.1191373697916,343.0554986118285,0.9657698529810946
DTU,28.7500499,77.1112615,2024-09-14,13.074166666666668,-8012.379266515147,14392.320251464844,20.68000030517578,1.8959604899088545,-0.0878055890401204,1.8979926240009743,26.52052014668783,978.711533203125,427.4761657714844,0.4143730621199963
DTU,28.7500499,77.1112615,2024-09-15,23.82090909090909,3.8377919592219615e-05,14392.320251464844,20.68000030517578,2.343968073527018,-0.6883419752120972,2.442949243138885,27.03945884704592,979.2192106119792,443.9354323710292,0.2435693044430953
DTU,28.7500499,77.1112615,2024-09-16,42.6875,4.799488296116346e-05,14392.320251464844,20.68000030517578,2.562224706013997,-0.7545367081960043,2.671014992118872,27.12315966288253,980.8434440104168,417.8566977761009,0.1273266865817968
DTU,28.7500499,77.1112615,2024-09-17,42.71333333333333,-1098.5675948867406,14392.320251464844,20.68000030517578,0.2037213643391927,-0.7018220822016398,0.7307917824894224,27.682245508829794,981.680947265625,337.811419778619,0.4206739646836746
DTU,28.7500499,77.1112615,2024-09-18,36.470000000000006,-9999.0,14392.320251464844,20.68000030517578,-2.183267593383789,-2.23532517751058,3.1246337439022427,24.482395426432333,980.7763997395832,369.5216126244916,0.9690742428637732
DTU,28.7500499,77.1112615,2024-09-19,34.487500000000004,-9999.0,14392.320251464844,20.68000030517578,-1.345638910929362,0.0884820222854614,1.3485448256824408,26.862999852498376,980.8044173177084,385.0986642128181,0.3847836042977562
DTU,28.7500499,77.1112615,2024-09-20,42.55416666666667,9.74298658825536e-05,14392.320251464844,20.68000030517578,-1.1708558400472004,0.8735552231470743,1.4608224142790835,27.691801961263025,981.2337272135416,366.2465352460373,0.5521760871095106
DTU,28.7500499,77.1112615,2024-09-21,39.36625,-9949.909416154376,14392.320251464844,20.68000030517578,-0.006479263305664,0.6569465001424154,0.6569784508660483,28.63342819213869,982.0733577473958,331.9368643011928,0.6001186792022926
DTU,28.7500499,77.1112615,2024-09-22,35.67875,5.870744781983582e-05,14392.320251464844,20.68000030517578,0.8424434661865234,-1.0873310565948486,1.3754998438226134,28.99318021138509,981.3926920572916,369.0727474748596,0.2078139925421762
DTU,28.7500499,77.1112615,2024-09-23,47.71083333333333,-9999.0,14392.320251464844,20.68000030517578,1.5582135518391926,-0.7938722769419352,1.7487889138578976,28.946718470255576,980.8622444661456,374.9514104669744,0.0609730706080671
DTU,28.7500499,77.1112615,2024-09-24,92.8675,-9999.0,14392.320251464844,20.68000030517578,-0.1054763793945312,0.3398885726928711,0.355878502381608,29.31844863891604,979.5456005859374,391.22643513324834,0.077400223929281
DTU,28.7500499,77.1112615,2024-09-25,42.720000000000006,-9999.0,14392.320251464844,20.68000030517578,-2.602217356363932,1.2146706581115725,2.8717520745076324,28.78314107259115,980.2922102864584,508.5462283299975,0.4476095446624047
DTU,28.7500499,77.1112615,2024-09-26,37.29749999999999,8.926311298681713e-05,14392.320251464844,20.68000030517578,-2.275050481160482,1.0479190746943157,2.50479322079423,28.175436274210654,979.9324381510418,484.85555576292944,0.4082451726286865
DTU,28.7500499,77.1112615,2024-09-27,45.489583333333336,-4036.926490487441,14392.320251464844,20.68000030517578,-2.6877365112304688,0.1936539014180501,2.6947039517052263,27.08042360941573,980.2160139973956,596.5439667504681,0.4574715480331547
DTU,28.7500499,77.1112615,2024-09-28,35.20541666666667,-9999.0,14392.320251464844,20.68000030517578,-1.9017187754313152,-0.1903116305669148,1.911217626948072,26.501011149088583,982.780244140625,411.8439003179881,0.5207085737512132
DTU,28.7500499,77.1112615,2024-09-29,34.51041666666667,-9999.0,14392.320251464844,20.68000030517578,-0.1125755310058593,-0.3082358439763387,0.328150248656095,26.834825770060263,984.4849723307292,368.4942070827012,0.5869841090411195
DTU,28.7500499,77.1112615,2024-09-30,33.95791666666668,-9825.19279827079,14392.320251464844,20.68000030517578,2.1176300048828125,-0.9030841986338296,2.302155057202292,27.630450185139978,982.8947330729168,487.4478164546746,0.2648702492891264
DTU,28.7500499,77.1112615,2024-10-01,22.286249999999995,5.786728681621563e-05,14392.320251464844,26.63999938964844,1.796181360880534,-0.3061702251434326,1.822088825479984,28.74407666524252,980.4674544270832,462.3388937958016,0.0267267051453063
DTU,28.7500499,77.1112615,2024-10-02,41.58684210526316,5.920474559037129e-05,14392.320251464844,26.63999938964844,1.7389411926269531,-0.5717423756917318,1.830520640576466,28.77777506510421,979.9340055338542,397.3985390150843,8.387079708709204e-05
DTU,28.7500499,77.1112615,2024-10-03,30.241250000000004,6.898918981287394e-05,14392.320251464844,26.63999938964844,1.0131988525390625,0.0815213521321614,1.0164731406387129,28.20533205668136,979.7821875,287.43489112538737,0.0001185393530475
DTU,28.7500499,77.1112615,2024-10-04,17.26958333333333,7.180704325025265e-05,14392.320251464844,26.63999938964844,0.6334438323974609,0.3525365193684895,0.7249366084636863,28.48967259724936,981.2787418619793,356.8590196341522,0.045131053898699
DTU,28.7500499,77.1112615,2024-10-05,13.480833333333331,4.814632764110165e-05,14392.320251464844,26.63999938964844,1.928687612215678,-0.1364594300587972,1.933509007366189,28.390521621704124,983.6344563802082,396.30699082051433,0.0571469596687181
DTU,28.7500499,77.1112615,2024-10-06,40.45791666666666,7.651550221231954e-05,14392.320251464844,26.63999938964844,1.3492449919382732,-1.080924113591512,1.7288316828465708,27.4013388315837,986.870146484375,298.0398060191761,0.1124286679320099
DTU,28.7500499,77.1112615,2024-10-07,54.46791666666667,6.479246181645296e-05,14392.320251464844,26.63999938964844,0.3969439665476481,-1.2398253281911211,1.3018184808193507,26.51005134582521,988.4326025390624,316.60635413808274,0.0014235704212665
